id,state,name,address_line1,address_line2,city,district,pin_code
3266,Tamil Nadu,VEDHANTHA INSTITUTE OF TECHNOLOGY,"NH-45,chennai-trichy highway, padur","NH-45,chennai-trichy highway, padur",Villupuram,Chennai,606115
3267,Tamil Nadu,"VEE CARE COLLEGE OF NURSING (Inst. Code - 487), CHENNAI","1/5,CHETTIAR AGARAM,","SIVABOOTHAM VILLAGE, VANAGARAM,",CHENNAI - 600095,Chennai,600095
3268,Tamil Nadu,"VEECARE COLLEGE OF HEALTH SCIENCE (Inst. Code - 476), CHENNAI","No:2/5,chettiar Agaram Road ,Sivabootham Village, Vanagaram",NA,CHENNAI,Chennai,600095
3269,Tamil Nadu,VEERALAKSHMI TEACHER TRAINING INSTITUTE FOR WOMEN ALANGUDY,KOVILUR POST,ALANGUDI TALUK,PUDUKKOTTAI,Pudukkottai,622301
3270,Tamil Nadu,Vel College of Education,"NEW DHARAPURAM ROAD,",PULIAMPATTI (PO),PALANI - 624 617,Dindigul,624617
3271,Tamil Nadu,"VEL R.S. MEDICAL COLLEGE, COLLEGE OF NURSING (Inst. Code - 188),. CHENNAI","No.42,Avadi-Alamathi Road, Vellanur,","Avadi, Chennai",Chennai,Chennai,600062
3272,Tamil Nadu,VEL TEACHER TRAINING INSTITUTE PALANI,"New Dharapuram Road,",Pulliampatti post,Palani,Dindigul,624617
3273,Tamil Nadu,Vel Tech,"#60, Avadi","VelTech - Road, Avadi",Chennai,Thiruvallur,600062
3274,Tamil Nadu,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,"#60, AVADI-VELTECH ROAD,","AVADI,",CHENNAI-600 062.,Thiruvallur,600062
3275,Tamil Nadu,VEL TECH MORAI,"AVADI-VELTECH ROAD,","AVADI, CHENNAI-62.",CHENNAI,Thiruvallur,600062
3276,Tamil Nadu,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"#42, AVADI - VELTECH ROAD",AVADI,CHENNAI,Thiruvallur,600062
3277,Tamil Nadu,VEL TECH RANGA SANKU ARTS COLLEGE,"NO.42, AVADI-ALAMATHI ROAD",AVADI,CHENNAI,Chennai,600062
3278,Tamil Nadu,"Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science & Technology, Chennai","No. 42, Avadi Veltech Road,","Avadi, Chennai - 600 062",Chennai,Thiruvallur,600062
3279,Tamil Nadu,Velalar College of Engineering and Technology,Thindal post,Erode,Erode,Erode,638012
3280,Tamil Nadu,Velammal College of Education,Nambipatti,H.Doddampatti (post),Harur,Dharmapuri,636903
3281,Tamil Nadu,"Velammal College of Engineering & Technology, Madurai","Velammal Nagar , Viraganoor",Madurai - Rameshwaram Road,Madurai,Madurai,625009
3282,Tamil Nadu,Velammal Engineering College,"Velammal NewGen Park, Ambattur-Redhills Road,","Surapet, Chennai",Chennai,Thiruvallur,600066
3283,Tamil Nadu,Velammal Institute of Technology,"Velammal Knowledge park, Chennai-Kolkatta Highway,",Panchetti,Chennai,Thiruvallur,601204
3284,Tamil Nadu,VELAMMAL MEDICAL COLLEGE HOSPITAL AND RESEARCH INSTITUTE (Inst. Code - 598),VELAMMAL VILLAGE,MADURAI - TUTICORIN RINGROAD,ANUPPANADI,Madurai,625009
3285,Tamil Nadu,Vellakoil Arts and Science College,"NH-67, Trichy Main Road,Senapathipalayam (po), Vellakovil - 638 111","NH-67, Trichy Main Road,Senapathipalayam (po), Vellakovil - 638 111",Tiruppur .,Erode,638111
3286,Tamil Nadu,Vellalar College for Women,Thindal,"Thindal, Erode - 12",Erode,Erode,638012
3287,Tamil Nadu,Vellalar College of Education for Women,Maruthi nagar,Thindal,Erode,Erode,638012
3288,Tamil Nadu,"VELLALAR COLLEGE OF NURSING (Inst. Code - 321), ERODE","Maruthi Nagar, Thindal Post, Erode",NA,Erode,Erode,638012
3289,Tamil Nadu,VELLALAR TEACHER TRAINING INSTITUTE THINDAL,"Maruthi Nagar,",Thindal,Erode,Erode,638012
3290,Tamil Nadu,"VELLORE GOVERNMENT MEDICAL COLLEGE (Inst. Code - 221), VELLORE","MUNJURPET ROAD, ADUKKAMPARAI, VELLORE-11","GOVT. VELLORE MEDICAL COLLEGE, ADUKKAMPARAI, VELLORE - 11",VELLORE-632011,Vellore,632011
3291,Tamil Nadu,"VELLORE INSTITUTE OF PARA MEDICALS (Inst. Code - 518), VELLORE",NO 21 II FLOOR,KATPADI ROAD THOTTAPALAYAM,VELLORE,Vellore,632004
3292,Tamil Nadu,"Vellore Institute of Technology, Vellore",Katpadi-Thiruvalam Road,NA,Vellore,Vellore,632014
3293,Tamil Nadu,"VELLORE POLYTECHNIC COLLEGE OYYATHUR, VELLORE","Oyyathur, Tirimani Post,",Katpadi T.K.,Vellore,Vellore,632202
3294,Tamil Nadu,"Vels Institute of Science, Technology and Advanced Studies, Chennai",Velan Nagar P.V.Vaithiyalingam Road,Pallavaram Chennai 600 117,Chennai,Kancheepuram,600117
3295,Tamil Nadu,Vels Srinivasa College of Engineering and Technology,Thalambur,Old Mahabalipuram Road,Chennai,Kancheepuram,600130
3296,Tamil Nadu,"VELUDAIYAR POLYTECHNIC COLLEGE, AMMAIYAPPAN",PAVUKKARA STREET,NEW ROAD AMMAIYAPPAN,THIRUVARUR,Thiruvarur,613701
3297,Tamil Nadu,Veludayar College of Education,MEIPORUL NAGAR,DURGALAYA ROAD,TIRUVARUR,Thiruvarur,610001
3298,Tamil Nadu,VELUDAYAR SCHOOL OF EDUCATION TEACHER TRAINING INSTITUTE MEIPPORUL NAGAR,"MEIPORUL NAGAR, DURGALAYA ROAD, TIRIVARUR",NA,TIRUVARUR,Thiruvarur,610001
